CVE,DESCRIP
C919,"Leucemia linfoide, sin otra especificación"
C920,Leucemia mieloblástica aguda [LMA]
C921,"Leucemia mieloide crónica [LMC], BCR/ABL-positivo"
C922,"Leucemia mieloide crónica atípica, BCR/ABL-negativo"
C923,Sarcoma mieloide
C924,Leucemia promielocítica aguda  [LPA]
C925,Leucemia mielomonocítica aguda
C927,Otras leucemias mieloides
C928,Leucemia mieloide aguda con displasia multilinaje
C929,"Leucemia mieloide, sin otra especificación"
C930,Leucemia monocítica/monoblástica aguda
C931,Leucemia mielomonocítica crónica
C933,Leucemia mielomonocítica juvenil
C937,Otras leucemias monocíticas
C939,"Leucemia monocítica, sin otra especificación"
C940,Leucemia eritroide aguda
C942,Leucemia megacarioblástica aguda
C943,Leucemia de mastocitos
C944,Panmielosis aguda con mielofibrosis
C946,"Enfermedad mielodiplásica y mieloproliferativa, no clasificada en otra parte"
C947,Otras leucemias especificadas
C950,"Leucemia aguda, células de tipo no especificado"
C951,"Leucemia crónica, células de tipo no especificado"
C957,Otras leucemias de células de tipo no especificado
C959,"Leucemia, no especificada"
C960,Histiocitosis de células de Langerhans multifocal y multicistémica (diseminada) [enfermedad de Letterer-Siwe]
C964,Sarcoma de células dendríticas (células accesorias)
C965,Histiocitosis de células de Langerhans multifocal y  unicistémicas
C966,Histiocitosis de células de Langerhans unifocal
C968,Sarcoma histiocítico
C969,"Tumor maligno del tejido linfático, hematopoyético y tejidos afines, sin otra especificación"
D000,"Carcinoma in situ del labio, de la cavidad bucal y de la faringe"
D001,Carcinoma in situ del esófago
D002,Carcinoma in situ del estómago
D010,Carcinoma in situ del colon
D011,Carcinoma in situ de la unión rectosigmoidea
D012,Carcinoma in situ del recto
D014,Carcinoma in situ de otras partes y de las no especificadas del intestino
D015,"Carcinoma in situ del hígado, de la vesícula biliar y del conducto biliar"
D017,Carcinoma in situ de otras partes especificadas de órganos digestivos
D019,Carcinoma in situ de órganos digestivos no especificados
D020,Carcinoma in situ de la laringe
D021,Carcinoma in situ de la tráquea
D022,Carcinoma in situ del bronquio y del pulmón
D024,Carcinoma in situ de órganos respiratorios no especificados
D031,Melanoma in situ del párpado y de la comisura palpebral
D033,Melanoma in situ de otras partes y de las no especificadas de la cara
D034,Melanoma in situ del cuero cabelludo y del cuello
D038,Melanoma in situ de otros sitios
D039,"Melanoma in situ, sitio no especificado"
D043,Carcinoma in situ de la piel de otras partes y de las no especificadas de la cara
D048,Carcinoma in situ de la piel de otros sitios especificados
D049,"Carcinoma in situ de la piel, sitio no especificado"
D057,Otros carcinomas in situ de la mama
D059,"Carcinoma in situ de la mama, parte no especificada"
D060,Carcinoma in situ del endocérvix
D069,"Carcinoma in situ del cuello del útero, parte no especificada"
D070,Carcinoma in situ del endometrio
D071,Carcinoma in situ de la vulva
D073,Carcinoma in situ de otros sitios de órganos genitales femeninos y de los no especificados
D074,Carcinoma in situ del pene
D075,Carcinoma in situ de la próstata
D090,Carcinoma in situ de la vejiga
D091,Carcinoma in situ de otros órganos urinarios y de los no especificados
D093,Carcinoma in situ de la glándula tiroides y de otras glándulas endocrinas
D097,Carcinoma in situ de otros sitios especificados
D099,"Carcinoma in situ, sitio no especificado"
D106,Tumor benigno de la nasofaringe
D120,Tumor benigno del ciego
D125,Tumor benigno del colon sigmoide
D126,"Tumor benigno del colon, parte no especificada"
D128,Tumor benigno del recto
D130,Tumor benigno del esófago
D131,Tumor benigno del estómago
D132,Tumor benigno del duodeno
D133,Tumor benigno de otras partes y de las no especificadas del intestino delgado
D134,Tumor benigno del hígado
D135,Tumor benigno de las vías biliares extrahepáticas
D136,Tumor benigno del páncreas
D137,Tumor benigno del páncreas endocrino
D139,Tumor benigno de sitios mal definidos del sistema digestivo
D140,"Tumor benigno del oído medio, de la cavidad nasal y de los senos paranasales"
D141,Tumor benigno de la laringe
D143,Tumor benigno de los bronquios y del pulmón
D150,Tumor benigno del timo
D151,Tumor benigno del corazón
D152,Tumor benigno del mediastino
D164,Tumor benigno de los huesos del cráneo y de la cara
D165,Tumor benigno del maxilar inferior
D166,Tumor benigno de la columna vertebral
D169,"Tumor benigno del hueso y del cartílago articular, sitio no especificado"
D170,"Tumor benigno lipomatoso de piel y de tejido subcutáneo de cabeza, cara y cuello"
D173,Tumor benigno lipomatoso de piel y de tejido subcutáneo de otros sitios y de los no especificados
D174,Tumor benigno lipomatoso de los órganos intratorácicos
D179,"Tumor benigno lipomatoso, de sitio no especificado"
D180,"Hemangioma, de cualquier sitio"
D181,"Linfangioma, de cualquier sitio"
D190,Tumor benigno del tejido mesotelial de la pleura
D219,"Tumor benigno del tejido conjuntivo y otros tejidos blandos, de sitio no especificado"
D232,Tumor benigno de la piel de la oreja y del conducto auditivo externo
D239,"Tumor benigno de la piel, sitio no especificado"
D24X,Tumor benigno de la mama
D251,Leiomioma intramural del útero
D259,"Leiomioma del útero, sin otra especificación"
D269,"Tumor benigno del útero, parte no especificada"
D27X,Tumor benigno del ovario
D291,Tumor benigno de la próstata
D309,Tumor benigno de órgano urinario no especificado
D316,"Tumor benigno de la órbita, parte no especificada"
D320,Tumor benigno de las meninges cerebrales
D329,"Tumor benigno de las meninges, parte no especificada"
D330,"Tumor benigno del encéfalo, supratentorial"
D331,"Tumor benigno del encéfalo, infratentorial"
D332,"Tumor benigno del encéfalo, parte no especificada"
D333,Tumor benigno de los nervios craneales
D337,Tumor benigno de otras partes especificadas del sistema nervioso central
D339,"Tumor benigno del sistema nervioso central, sitio no especificado"
D34X,Tumor benigno de la glándula tiroides
D350,Tumor benigno de la glándula suprarrenal
D351,Tumor benigno de la glándula paratiroides
D352,Tumor benigno de la hipófisis
D353,Tumor benigno del conducto craneofaríngeo
D355,Tumor benigno del cuerpo carotídeo
D357,Tumor benigno de otras glándulas endocrinas especificadas
D360,Tumor benigno de los ganglios linfáticos
D361,Tumor benigno de los nervios periféricos y del sistema nervioso autónomo
D367,Tumor benigno de otros sitios especificados
D369,Tumor benigno de sitio no especificado
D370,"Tumor de comportamiento incierto o desconocido del labio, de la cavidad bucal y de la faringe"
D371,Tumor de comportamiento incierto o desconocido del estómago
D372,Tumor de comportamiento incierto o desconocido del intestino delgado
D373,Tumor de comportamiento incierto o desconocido del apéndice
D374,Tumor de comportamiento incierto o desconocido del colon
D375,Tumor de comportamiento incierto o desconocido del recto
D376,"Tumor de comportamiento incierto o desconocido del hígado, de la vesícula biliar y del conducto biliar"
D377,Tumor de comportamiento incierto o desconocido de otros órganos digestivos especificados
D379,"Tumor de comportamiento incierto o desconocido de órganos digestivos, sitio no especificado"
D380,Tumor de comportamiento incierto o desconocido de laringe
D381,"Tumor de comportamiento incierto o desconocido de la tráquea, de los bronquios y del pulmón"
D382,Tumor de comportamiento incierto o desconocido de la pleura
D383,Tumor de comportamiento incierto o desconocido del mediastino
D384,Tumor de comportamiento incierto o desconocido del timo
D385,Tumor de comportamiento incierto o desconocido de otros órganos respiratorios y del oído medio
D386,"Tumor de comportamiento incierto o desconocido de órganos respiratorios, sitio no especificado"
D390,Tumor de comportamiento incierto o desconocido del útero
D391,Tumor de comportamiento incierto o desconocido del ovario
D397,Tumor de comportamiento incierto o desconocido de otros órganos genitales femeninos
D399,Tumor de comportamiento incierto o desconocido de órgano genital femenino no especificado
D400,Tumor de comportamiento incierto o desconocido de la próstata
D401,Tumor de comportamiento incierto o desconocido del testículo
D407,Tumor de comportamiento incierto o desconocido de otros órganos genitales masculinos
D409,Tumor de comportamiento incierto o desconocido de órgano genital masculino no especificado
D410,Tumor de comportamiento incierto o desconocido del riñón
D411,Tumor de comportamiento incierto o desconocido de la pelvis renal
D414,Tumor de comportamiento incierto o desconocido de la vejiga
D419,Tumor de comportamiento incierto o desconocido de órgano urinario no especificado
D420,Tumor de comportamiento incierto o desconocido de las meninges cerebrales
D421,Tumor de comportamiento incierto o desconocido de las meninges raquídeas
D429,"Tumor de comportamiento incierto o desconocido de las meninges, parte no especificada"
D430,"Tumor de comportamiento incierto o desconocido del encéfalo, supratentorial"
D431,"Tumor de comportamiento incierto o desconocido del encéfalo, infratentorial"
D432,"Tumor de comportamiento incierto o desconocido del encéfalo, parte no especificada"
D433,Tumor de comportamiento incierto o desconocido de los nervios craneales
D434,Tumor de comportamiento incierto o desconocido de la médula espinal
D437,Tumor de comportamiento incierto o desconocido de otras partes especificadas del sistema nervioso central
D439,"Tumor de comportamiento incierto o desconocido del sistema nervioso central, sitio no especificado"
D440,Tumor de comportamiento incierto o desconocido de la glándula tiroides
D441,Tumor de comportamiento incierto o desconocido de la glándula suprarrenal
D442,Tumor de comportamiento incierto o desconocido de la glándula paratiroides
D443,Tumor de comportamiento incierto o desconocido de la glándula hipófisis
D444,Tumor de comportamiento incierto o desconocido del conducto craneofaríngeo
D445,Tumor de comportamiento incierto o desconocido de la glándula pineal
D446,Tumor de comportamiento incierto o desconocido del cuerpo carotídeo
D447,Tumor de comportamiento incierto o desconocido del cuerpo aórtico y otros cuerpos cromafines
D448,Tumor de comportamiento incierto o desconocido con afectación pluriglandular
D449,Tumor de comportamiento incierto o desconocido de glándula endocrina no especificada
D45X,Policitemia vera
D460,"Anemia refractaria sin sideroblastos en forma de anillo, así descrita"
D462,Anemia refractaria con exceso de blastos [AREB]
D464,"Anemia refractaria, sin otra especificación"
D465,Anemia refractaria con displasia multilinaje
D467,Otros síndromes mielodisplásicos
D469,"Síndrome mielodisplásico, sin otra especificación"
D471,Enfermedad mieloproliferativa crónica
D472,Gammopatía monoclonal de significado incierto [GMSI]
D473,Trombocitopenia (hemorrágica) esencial
D474,Osteomielofibrosis
D475,Leucemia eosinofílica crónica [síndrome hipereosinofílico]
D477,"Otros tumores especificados de comportamiento incierto o desconocido del tejido linfático, de los órganos hematopoyéticos y de tejidos afines"
D479,"Tumores de comportamiento incierto o desconocido del tejido linfático, de los órganos hematopoyéticos y de tejidos afines, no especificados"
D480,Tumor de comportamiento incierto o desconocido del hueso y cartílago articular
D481,Tumor de comportamiento incierto o desconocido del tejido conjuntivo y otro tejido blando
D482,Tumor de comportamiento incierto o desconocido de los nervios periféricos y del sistema nervioso autónomo
D483,Tumor de comportamiento incierto o desconocido del retroperitoneo
D484,Tumor de comportamiento incierto o desconocido del peritoneo
D485,Tumor de comportamiento incierto o desconocido de la piel
D486,Tumor de comportamiento incierto o desconocido de la mama
D487,Tumor de comportamiento incierto o desconocido de otros sitios especificados
D489,"Tumor de comportamiento incierto o desconocido, de sitio no especificado"
D500,Anemia por deficiencia de hierro secundaria a pérdida de sangre (crónica)
D508,Otras anemias por deficiencia de hierro
D509,Anemia por deficiencia de hierro sin otra especificación
D510,Anemia por deficiencia de vitamina B12 debida a deficiencia del factor intrínseco
D519,"Anemia por deficiencia de vitamina B12, sin otra especificación"
D529,"Anemia por deficiencia de folatos, sin otra especificación"
D530,Anemia por deficiencia de proteínas
D531,"Otras anemias megaloblásticas, no clasificadas en otra parte"
D538,Otras anemias nutricionales especificadas
D539,"Anemia nutricional, no especificada"
D552,Anemia debida a trastornos de las enzimas glucolíticas
D561,Beta talasemia
D569,"Talasemia, no especificada"
D570,Anemia falciforme con crisis
D571,Anemia falciforme  sin crisis
D580,Esferocitosis hereditaria
D581,Eliptocitosis hereditaria
D588,Otras anemias hemolíticas hereditarias especificadas
D589,"Anemia hemolítica hereditaria, sin otra especificación"
D591,Otras anemias hemolíticas autoinmunes
D593,Síndrome hemolítico-urémico
